Review,Padded_Sequence,Sentiment
when my order arrived one of the gyros was missing,"[  70   18  101  623   65   10    1  460    4 1234    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
these were so good we ordered them twice,"[269  33  20  16  19  89 146 234   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
del taco is pretty nasty and should be avoided if possible,"[1235  624    7   79 1236    2  253   23 1237   44  370    0    0    0
    0    0    0    0    0    0    0    0    0]",0
be sure to order dessert even if you need to pack it togo  the tiramisu and cannoli are both to die for,"[  23  151    6  101  310  162   44   27  395    6 1238    9 1239    1
 1240    2 1241   25  180    6  582   15    0]",1
i vomited in the bathroom mid lunch,"[   3 1242   13    1  353 1243  246    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
nothing special,"[185 217   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the chicken wings contained the driest chicken meat i have ever eaten,"[   1  105  435 1244    1 1245  105  163    3   28   51  295    0    0
    0    0    0    0    0    0    0    0    0]",0
will definitely be back,"[ 45 165  23  29   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
definitely not worth the 3 i paid,"[165  12 181   1 300   3 625   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant,"[   3 1246   83    1  355  426 1247 1248    2 1249 1250   92   68   64
   36  133   26  626    0    0    0    0    0]",1
and then tragedy struck,"[   2  201 1251 1252    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,"[   1   97   21   50    1  254  471   10  176    6   12  207 1253    1
  566   57    4  377  240    0    0    0    0]",1
the spaghetti is nothing special whatsoever,"[   1 1254    7  185  217 1255    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i waited and waited,"[  3 244   2 244   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the price is reasonable and the service is great,"[  1 199   7 229   2   1  17   7  22   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i heart this place,"[  3 367   8  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
good prices,"[ 16 177   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
just dont know why they were so slow,"[ 50  47 159 319  36  33  20 132   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
for that price i can think of a few place i would have much rather gone,"[ 15  30 199   3 130 124  10   5 169  14   3  52  28  88 354 609   0   0
   0   0   0   0   0]",0
waitress was good though,"[257   4  16 315   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
very friendly staff,[24 59 99  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
the only thing i wasnt too crazy about was their guacamole as i dont like it pured,"[   1   71  255    3  182  141 1256   95    4   54 1257   46    3   47
   38    9 1258    0    0    0    0    0    0]",0
on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate,"[1259    3  628   15   72  303  142 1260   72    2   39  627  156    3
   85    1 1261  296   10  163   31   18 1262]",0
some highlights  great quality nigiri here,"[  81 1263   22  137 1264   32    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
also i feel like the chips are bought not made in house,"[  53    3  109   38    1  251   25 1265   12  104   13  338    0    0
    0    0    0    0    0    0    0    0    0]",0
the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected,"[   1  250 1266  167 1267    2  308  289    2 1268  117  629    2  514
   64   19  422    0    0    0    0    0    0]",1
very tough and very short on flavor,"[  24 1269    2   24 1270   31  108    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
by this time our side of the restaurant was almost empty so there was no excuse,"[ 76   8  40  42 214  10   1  69   4 620 630  20  49   4  67 631   0   0
   0   0   0   0   0]",0
i didnt know pulled pork could be soooo delicious,"[  3 204 159 386 387 123  23 632  63   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,"[   1  633   21   67  634   64   20   51   31   64    3   21    6  126
    9  195  635   60  118 1271  213    0    0]",0
lordy the khao soi is a dish that is not to be missed for curry lovers,"[1272    1 1273 1274    7    5  221   30    7   12    6   23 1275   15
  622  548    0    0    0    0    0    0    0]",1
2 thumbs up,"[308 320  60   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the only downside is the service,"[   1   71 1276    7    1   17    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
would not recommend to others,"[ 52  12 127   6 564   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
just spicy enough perfect actually,"[  50  192  193  186 1277    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
so dont go there if you are looking for good food,"[ 20  47  37  49  44  27  25 636  15  16  11   0   0   0   0   0   0   0
   0   0   0   0   0]",0
it was probably dirt,"[  9   4 144 637   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
we watched our waiter pay a lot more attention to other tables and ignore us,"[  19 1278   42  358  427    5  206   86 1279    6  120  382    2 1280
   90    0    0    0    0    0    0    0    0]",0
also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,"[  53   33  373  202  227    2  362    2  357  104  420  251   26  410
 1281   31 1282 1283    2   24   16    0    0]",1
tasted like dirt,"[157  38 637   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
a great way to finish a great,"[  5  22 152   6 502   5  22   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the burger is good beef cooked just right,"[  1  96   7  16 290 240  50 254   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the ri style calamari was a joke,"[   1 1284  638 1285    4    5  639    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
its too bad the food is so damn generic,"[  92  141  111    1   11    7   20  436 1286    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
friends pasta  also bad he barely touched it,"[ 173  263   53  111   80  393 1287    9    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
would not go back,[52 12 37 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
it is worth the drive,"[  9   7 181   1 419   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
very poor service,"[ 24 268  17   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i probably wont be coming back here,"[  3 144  62  23 145  29  32   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i would not recommend this place,"[  3  52  12 127   8  14   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
im so happy to be here,"[ 78  20 321   6  23  32   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
why are these sad little vegetables so overcooked,"[319  25 269 424 149 276  20 552   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,"[ 145   32    7   38 1288   43  640 1289  247  180 1290  223  121   15
    1  120  542    6  326    6  641   60    0]",0
both of the egg rolls were fantastic,"[180  10   1 428 598  33 200   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the food is very good for your typical bar food,"[   1   11    7   24   16   15   55 1291  208   11    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i dont know what kind it is but they have the best iced tea,"[   3   47  159   64  416    9    7   35   36   28    1   48 1292  352
    0    0    0    0    0    0    0    0    0]",1
my breakfast was perpared great with a beautiful presentation of 3 giant slices of toast lightly dusted with powdered sugar,"[  18  184    4 1293   22   26    5  429  475   10  300 1294 1295   10
 1296 1297 1298   26 1299 1300    0    0    0]",1
wow loved this place,"[350 148   8  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
never been to hard rock casino before will never ever step forward in it again,"[  56   82    6  583 1301 1302  164   45   56   51 1303 1304   13    9
   77    0    0    0    0    0    0    0    0]",0
the vegetables are so fresh and the sauce feels like authentic thai,"[  1 276  25  20 183   2   1 176 586  38 396 408   0   0   0   0   0   0
   0   0   0   0   0]",1
special thanks to dylan t for the recommendation on what to order  all yummy for my tummy,"[ 217 1305    6 1306 1307   15    1  407   31   64    6  101   39  316
   15   18 1308    0    0    0    0    0    0]",1
how can you call yourself a steakhouse if you cant properly cook a steak i dont understand,"[ 140  130   27 1309  417    5 1310   44   27  223 1311 1312    5  153
    3   47 1313    0    0    0    0    0    0]",0
mediocre food,"[283  11   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i really enjoyed crema caf before they expanded i even told friends they had the best breakfast,"[   3   41  292 1314 1315  164   36 1316    3  162  642  173   36   21
    1   48  184    0    0    0    0    0    0]",1
everything was perfect the night we were in,"[166   4 186   1 143  19  33  13   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
interesting decor,"[ 398 1317    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
unfortunately it only set us up for disapppointment with our entrees,"[ 366    9   71  540   90   60   15 1318   26   42  465    0    0    0
    0    0    0    0    0    0    0    0    0]",0
service is also cute,"[ 17   7  53 643   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,"[  17    4  147    2  177   25   79  229  418    8    7   58    2 1319
  218    1 1320 1321  644   76 1322    0    0]",1
the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu,"[   1  382  219   25   53  380    5  206   10    1   40    2    1 1323
   25   12  115   59    2  430   26    1   93]",0
great food and great service in a clean and friendly setting,"[ 22  11   2  22  17  13   5 179   2  59 351   0   0   0   0   0   0   0
   0   0   0   0   0]",1
everything was gross,"[ 166    4 1324    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
if you are reading this please dont go there,"[  44   27   25 1325    8  645   47   37   49    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
we wont be returning,"[  19   62   23 1326    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
avoid this establishment,"[236   8 469   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
as a sushi lover avoid this place by all means,"[  46    5  125 1327  236    8   14   76   39  592    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
oh this is such a thing of beauty this restaurant,"[ 599    8    7  385    5  255   10 1328    8   69    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
well never go again,[72 56 37 77  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
i dressed up to be treated so rudely,"[   3 1329   60    6   23  324   20 1330    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
restaurant is always full but never a wait,"[ 69   7 115 403  35  56   5 121   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,"[  29    6   16 1331 1332  491  229 1333    2  369    1 1334   36   25
   29    6    1  216 1335    0    0    0    0]",1
service stinks here,"[  17 1336   32    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
my drink was never empty and he made some really great menu suggestions,"[  18  332    4   56  630    2   80  104   81   41   22   93 1337    0
    0    0    0    0    0    0    0    0    0]",1
service was fantastic,"[ 17   4 200   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
total waste of time,"[391 239  10  40   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the food was delicious our bartender was attentive and personable and we got a great deal,"[   1   11    4   63   42  646    4  212    2 1338    2   19   85    5
   22  250    0    0    0    0    0    0    0]",1
the service was outshining  i definitely recommend the halibut,"[   1   17    4 1339    3  165  127    1 1340    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
very good food great atmosphere1,"[  24   16   11   22 1341    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
left very frustrated,"[ 346   24 1342    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i can say that the desserts were yummy,"[  3 130 126  30   1 330  33 316   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,"[  1  11   4 393 464  20   9 237  28  82 647 245  15   1 119   6 648   9
  75   6  90   0   0]",0
i ate there twice on my last visit and especially enjoyed the salmon salad,"[  3 649  49 234  31  18 190 359   2 431 292   1 322  97   0   0   0   0
   0   0   0   0   0]",1
much better than the other ayce sushi place i went to in vegas,"[  88  154  110    1  120 1343  125   14    3  117    6   13   58    0
    0    0    0    0    0    0    0    0    0]",1
you can watch them preparing the delicious food,"[  27  130  511  146 1344    1   63   11    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i guess maybe we went on an off night but it was disgraceful,"[   3  650  364   19  117   31   43  241  143   35    9    4 1345    0
    0    0    0    0    0    0    0    0    0]",0
the cashew cream sauce was bland and the vegetables were undercooked,"[   1 1346 1347  176    4  112    2    1  276   33  579    0    0    0
    0    0    0    0    0    0    0    0    0]",0
it took over 30 min to get their milkshake which was nothing more than chocolate milk,"[   9  314  207  259  446    6  113   54 1348   57    4  185   86  110
 1349 1350    0    0    0    0    0    0    0]",0
this is my new fav vegas buffet spot,"[   8    7   18  264 1351   58  175  230    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
ordered an appetizer and took 40 minutes and then the pizza another 10 minutes,"[  89   43 1352    2  314  311   84    2  201    1   98  317  432   84
    0    0    0    0    0    0    0    0    0]",0
itll be a regular stop on my trips to phoenix,"[1353   23    5  651  652   31   18 1354    6  266    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
which are small and not worth the price,"[ 57  25 344   2  12 181   1 199   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,"[1355 1356  331   76    8  125  208   12   71  160    1  137    7   22
   35    1   17    7  261    2    1   11 1357]",1
after one bite i was hooked,"[ 114   65  653    3    4 1358    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i had a pretty satifying experience,"[   3   21    5   79 1359   74    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the restaurant is very clean and has a family restaurant feel to it,"[  1  69   7  24 179   2 116   5 274  69 109   6   9   0   0   0   0   0
   0   0   0   0   0]",1
the ambiance isnt much better,"[  1 188 343  88 154   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i will not return,"[  3  45  12 273   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,"[   1  367 1360 1361   13 1362   58    7   43  161 1363  631   15    5
   69    0    0    0    0    0    0    0    0]",0
it was absolutely amazing,"[  9   4 161  68   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this is some seriously good pizza and im an expertconnisseur on the topic,"[   8    7   81  171   16   98    2   78   43 1364   31    1 1365    0
    0    0    0    0    0    0    0    0    0]",1
my friend did not like his bloody mary,"[  18  440   61   12   38  363 1366 1367    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
when i received my pita it was huge it did have a lot of meat in it so thumbs up there,"[ 70   3 654  18 426   9   4 313   9  61  28   5 206  10 163  13   9  20
 320  60  49   0   0]",1
there is nothing privileged about workingeating there,"[  49    7  185 1368   95 1369   49    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the pizza selections are good,"[   1   98 1370   25   16    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
every time i eat here i see caring teamwork to a professional degree,"[ 170   40    3  103   32    3  288 1371 1372    6    5  655 1373    0
    0    0    0    0    0    0    0    0    0]",1
also the fries are without a doubt the worst fries ive ever had,"[  53    1  248   25 1374    5 1375    1   94  248   87   51   21    0
    0    0    0    0    0    0    0    0    0]",0
the service was meh,"[   1   17    4 1376    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,"[  19   89   81  216 1377    2   81  264  252  114   91   49    5  169
  156    2   33 1378   73   26  166    0    0]",0
i went to bachi burger on a friends recommendation and was not disappointed,"[  3 117   6 656  96  31   5 173 407   2   4  12  73   0   0   0   0   0
   0   0   0   0   0]",1
wont go back,[62 37 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us,"[  64  253   28   82    5 1379  316 1380 1381  309    6 1382    4    1
 1383  526   10    1 1384  284   15   90    0]",0
their rotating beers on tap is also a highlight of this place,"[  54 1385 1386   31  531    7   53    5 1387   10    8   14    0    0
    0    0    0    0    0    0    0    0    0]",1
the only redeeming quality of the restaurant was that it was very inexpensive,"[   1   71 1388  137   10    1   69    4   30    9    4   24  492    0
    0    0    0    0    0    0    0    0    0]",1
the potato chip order was sad i could probably count how many chips were in that box and it was probably around 12,"[   1  420 1389  101    4  424    3  123  144 1390  140  155  251   33
   13   30 1391    2    9    4  144  291  553]",0
always a pleasure dealing with him,"[ 115    5 1392  619   26  500    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
what did bother me was the slow service,"[ 64  61 657 122   4   1 132  17   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i always order from the vegetarian menu during dinner which has a wide array of options to choose from,"[   3  115  101  106    1  490   93  225  309   57  116    5 1393 1394
   10  596    6  547  106    0    0    0    0]",1
owners are really great people,"[394  25  41  22 168   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
boy was that sucker dry,"[ 532    4   30 1395  297    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the seasonal fruit was fresh white peach puree,"[   1 1396 1397    4  183  361 1398  570    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine,"[  78   12   41  151  140 1399    4 1400   48  202  504   13    1  536
   76 1401   10  266 1402    0    0    0    0]",0
these are the nicest restaurant owners ive ever come across,"[ 269   25    1 1403   69  394   87   51  174 1404    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the food was excellent and service was very good,"[  1  11   4 147   2  17   4  24  16   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
they have great dinners,"[  36   28   22 1405    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
however my recent experience at this particular location was not so good,"[1406   18  658   74   34    8 1407  392    4   12   20   16    0    0
    0    0    0    0    0    0    0    0    0]",0
my gyro was basically lettuce only,"[  18 1408    4  659 1409   71    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
food was delicious,[11  4 63  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
will never ever go back and have told many people what had happened,"[ 45  56  51  37  29   2  28 642 155 168  64  21 466   0   0   0   0   0
   0   0   0   0   0]",0
im not impressed with the concept or the food,"[  78   12  228   26    1 1410  142    1   11    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
everything was fresh and delicious,"[166   4 183   2  63   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
it kept getting worse and worse so now im officially done,"[   9  433  187  660    2  660   20  128   78 1411  303    0    0    0
    0    0    0    0    0    0    0    0    0]",0
im not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,"[  78   12  151  140  285   19 1412   49   35    9    4  285  193   15
  122    6 1413    6  109 1414   75   10   14]",0
i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,"[   3 1415    6 1416   26   18 1417 1418   35   18  588    2    3   33
   20   73   26    8   14    0    0    0    0]",0
for 40 bucks a head i really expect better food,"[  15  311 1419    5 1420    3   41  318  154   11    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
it wasnt busy either also the building was freezing cold,"[   9  182  661  281   53    1  662    4 1421  232    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
good food  good service ,[16 11 16 17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
no one at the table thought the food was above average or worth the wait that we had for it,"[ 67  65  34   1 178 235   1  11   4 629 365 142 181   1 121  30  19  21
  15   9   0   0   0]",0
perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,"[1422    3 1423  146   31   43  241  143 1424   76    1  120  567   35
   78   12 1425    6   37   29    0    0    0]",0
he also came back to check on us regularly excellent service,"[  80   53  102   29    6  371   31   90 1426  147   17    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the jalapeno bacon is soooo good,"[   1 1427  410    7  632   16    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
join the club and get awesome offers via email,"[1428    1 1429    2  113  138  470 1430 1431    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the whole experience was underwhelming and i think well just go to ninja sushi next time,"[   1  545   74    4  640    2    3  124   72   50   37    6 1432  125
  139   40    0    0    0    0    0    0    0]",0
we thought youd have to venture further away to get good sushi but this place really hit the spot that night,"[  19  235  663   28    6 1433 1434  312    6  113   16  125   35    8
   14   41  495    1  230   30  143    0    0]",1
we had 7 at our table and the service was pretty fast,"[  19   21 1435   34   42  178    2    1   17    4   79  261    0    0
    0    0    0    0    0    0    0    0    0]",1
eclectic selection,"[1436  196    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the dining space is tiny but elegantly decorated and comfortable,"[   1  189 1437    7 1438   35 1439  664    2 1440    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
a fly was in my apple juice a fly,"[   5  665    4   13   18 1441 1442    5  665    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
a fantastic neighborhood gem ,"[   5  200  528 1443    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
this place is not worth your time let alone vegas,"[   8   14    7   12  181   55   40  533 1444   58    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the servers went back and forth several times not even so much as an are you being helped,"[   1  282  117   29    2 1445  472  156   12  162   20   88   46   43
   25   27  118 1446    0    0    0    0    0]",0
worst thai ever,"[ 94 408  51   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the pancake was also really good and pretty large at that,"[   1 1447    4   53   41   16    2   79  299   34   30    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the food sucked which we expected but it sucked more than we could have imagined,"[   1   11  356   57   19  422   35    9  356   86  110   19  123   28
 1448    0    0    0    0    0    0    0    0]",0
the cow tongue and cheek tacos are amazing,"[   1  585 1449    2 1450  306   25   68    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,"[  30    3   52  191   18 1451    6    8   14   77  160   36  104 1452
   10    1  577  572   30    3 1453  224  141]",0
they will customize your order any way youd like my usual is eggplant with green bean stir fry love it,"[  36   45 1454   55  101  150  152  663   38   18 1455    7  626   26
  666 1456 1457  667   83    9    0    0    0]",1
id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing,"[ 222  126   30   52   23    1 1458 1459  668   39   10 1460  252  134
  140   36   25 1461    6  134   68    0    0]",1
cute quaint simple honest,"[ 643 1462  613  400    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
ill take my business dinner dollars elsewhere,"[ 231  191   18  669  309 1463  307    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
great place to relax and have an awesome burger and beer,"[  22   14    6 1464    2   28   43  138   96    2  262    0    0    0
    0    0    0    0    0    0    0    0    0]",1
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,"[  70   80  522   75    1  339 1465 1466 1467    2 1468  670   80 1469
  560    6   42  194    2  317  670    6   37]",1
all of the tapas dishes were delicious,"[  39   10    1 1470  252   33   63    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,"[  24   66    2  162  315   80 1471    5  149 1472   26   39   10   42
  271   80  671  655    2   59  409    1  593]",1
anyways the food was definitely not filling at all and for the price you pay you should expect more,"[1473    1   11    4  165   12  672   34   39    2   15    1  199   27
  427   27  253  318   86    0    0    0    0]",0
the inside is really quite nice and very clean,"[  1 218   7  41 272  66   2  24 179   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i love this place,[ 3 83  8 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
it was either too cold not enough flavor or just bad,"[  9   4 281 141 232  12 193 108 142  50 111   0   0   0   0   0   0   0
   0   0   0   0   0]",0
avoid at all cost,"[ 236   34   39 1474    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
great food,[22 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
i wouldnt return,"[  3 405 273   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
there is really nothing for me at postinos hope your experience is better,"[  49    7   41  185   15  122   34 1475  423   55   74    7  154    0
    0    0    0    0    0    0    0    0    0]",0
i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar,"[ 349    6    1 1476   35    3   61   12  129    6  349    6    1  484
  294    4 1477 1478   10 1479  452    1  208]",0
all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,"[  39   13   39   43  147   69 1480   76   22   17    5 1481   93    2
    5  429  351    0    0    0    0    0    0]",1
the cashier was friendly and even brought the food out to me,"[   1  633    4   59    2  162 1482    1   11   75    6  122    0    0
    0    0    0    0    0    0    0    0    0]",1
the only good thing was our waiter he was very helpful and kept the bloddy marys coming,"[   1   71   16  255    4   42  358   80    4   24  430    2  433    1
 1483 1484  145    0    0    0    0    0    0]",1
this place should honestly be blown up,"[   8   14  253  668   23 1485   60    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i give it 2 thumbs down,"[  3 301   9 308 320 226   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
it was a drive to get there,"[  9   4   5 419   6 113  49   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i got to enjoy the seafood salad with a fabulous vinegrette,"[   3   85    6  280    1  450   97   26    5 1486  600    0    0    0
    0    0    0    0    0    0    0    0    0]",1
you wont be disappointed,[27 62 23 73  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
worst martini ever,"[  94 1487   51    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
in summary this was a largely disappointing dining experience,"[  13 1488    8    4    5 1489  412  189   74    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the goat taco didnt skimp on the meat and wow what flavor,"[   1 1490  624  204 1491   31    1  163    2  350   64  108    0    0
    0    0    0    0    0    0    0    0    0]",1
sorry i will not be getting food from here anytime soon ,"[1492    3   45   12   23  187   11  106   32  243  136    0    0    0
    0    0    0    0    0    0    0    0    0]",0
